idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
240,8.96,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Indie,250,35.84
241,7.84,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,31.36
242,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,44
243,10.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,43.2
244,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,48
245,8.25,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,33
246,6.4,125 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,125,51.2
247,8.64,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,34.56
248,5.04,8 x 11g,,drip (alternative brewing methods),light,ground,100% Arabica,Honduras,88,57.27
249,13.2,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,52.8
250,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,45.6
251,12,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,48
252,9.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,38.4
253,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
254,10.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,41.6
255,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,45.6
256,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
257,8.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,35.2
258,8.32,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,33.28
259,7.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Papua Nowa Gwinea, Rwanda",250,28.8
260,9,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,45
261,8.4,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,42
262,9,200 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,200,45
263,8.6,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,200,43
264,6.3,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,200,31.5
265,9.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,39.2
266,11.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Chiny,250,47.2
267,12.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,49.6
268,9.8,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,39.2
269,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40.8
270,10.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,41.6
271,10.2,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40.8
272,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40
273,6.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Robusta,Indie,250,27.2
274,13.8,500 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,500,27.6
275,13.8,500 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,500,27.6
276,9.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,36.8
277,7.2,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,28.8
278,7,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,28
279,7,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,28
280,11.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,47.2
281,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,46.4
282,11.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,47.2
283,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,45.6
284,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,45.6
285,8.85,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,35.4
286,8.55,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,34.2
287,8.55,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,34.2
288,8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,32
289,7.8,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,31.2
290,8.6,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,34.4
291,7.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,31.2
292,12.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,49.6
293,6.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,250,25.6
294,8.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Mjanma,250,33.6
295,6.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,26.4
296,6.45,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,25.8
297,5.85,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,23.4
298,6.3,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,25.2
299,11.8,300 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,300,39.33
300,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,60
301,9.75,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,39
302,9,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,36
303,8.25,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,33
304,14,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,56
305,16.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,65.6
306,13.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,53.6
307,11.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,46.4
308,9.28,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,37.12
309,9.38,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,37.52
310,8.4,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,33.6
311,9.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Demokratyczna Republika Konga,250,37.6
312,9.4,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,37.6
313,10.2,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40.8
314,10,250 g,Semi-washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,40
315,9,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Papua Nowa Gwinea,250,36
316,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Tanzania,250,36
317,6.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,26.4
318,7.8,250 g,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,31.2
319,11,250 g,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,44
320,13,250 g,Experimental Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,52
321,10.6,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,42.4
322,5.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,23.2
323,9.49,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,250,37.96
324,13.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,250,54.4
325,9.52,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,38.08
326,8.96,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,35.84
327,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,33.6
328,10,,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,0,0
329,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,48
330,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,33.6
331,8.64,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,34.56
332,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,48
333,19.8,6 x 55g,,drip (alternative brewing methods),light,beans,100% Arabica,,330,60
334,11.85,200 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,200,59.25
335,6.75,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,27
336,10.07,250 g,Anaerobic natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,40.28
337,17,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,250,68
338,12.4,500 g,,drip (alternative brewing methods),medium,beans,100% Arabica,"Brazylia, Etiopia",500,24.8
339,11.4,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,45.6
340,12.8,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,51.2
341,13.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,54.4
342,7.2,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,200,36
343,13.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,55.2
344,7.6,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,200,38
345,12.4,200 g,Closed Tank Fermentation,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,200,62
346,16,125 g,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,125,128
347,16,125 g,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,125,128
348,8,125 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,125,64
349,16,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,80
350,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,60
351,16,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,200,80
352,16.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,65.6
353,19.8,200 g,Rum Aged,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,99
354,18,200 g,Washed Double Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,90
355,22.4,200 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,112
356,12.4,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,49.6
357,9.3,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,37.2
358,9.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,36.8
359,9.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,36.8
360,7.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Tanzania,250,31.2
361,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,36
362,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40.8
363,6.3,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,25.2
364,7.14,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,28.56
365,12.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,51.2
366,13.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,52.8
367,13.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,250,55.2
368,13.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,52.8
369,12.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,50.4
370,13.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,52.8
371,13.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,55.2
372,15,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,60
373,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,36
374,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,36
375,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,36
376,12,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,48
377,9.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,38.4
378,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
379,9,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,36
380,6.3,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,200,31.5
381,13.4,,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,0,0
382,8.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,35.2
383,14.8,500 g,,"drip, espresso",dark,beans,100% Arabica,,500,29.6
384,15.8,500 g,,"drip, espresso",medium,beans,100% Arabica,,500,31.6
385,11,500 g,,"drip, espresso",medium,ground,100% Arabica,,500,22
386,11.4,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,45.6
387,7.2,250 g,,"drip, espresso",medium,ground,100% Arabica,,250,28.8
388,4.8,250 g,,"drip, espresso",medium,ground,100% Arabica,,250,19.2
389,4.8,250 g,,"drip, espresso",medium,beans,100% Arabica,,250,19.2
390,11,500 g,,"drip, espresso",medium,beans,100% Arabica,,500,22
391,7.2,200 g,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,200,36
392,11.2,250 g,Natural,"drip, espresso",light,beans,100% Arabica,Brazylia,250,44.8
393,11.2,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,44.8
394,9.6,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,38.4
395,11.8,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,47.2
396,13.6,250 g,Washed,"drip, espresso",light,beans,100% Arabica,Malawi,250,54.4
397,12,250 g,Washed,"drip, espresso",light,beans,100% Arabica,Rwanda,250,48
398,12.4,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,49.6
399,9.8,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,39.2
400,5.6,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,22.4
401,6.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,25.6
402,7,250 g,Wet-hulling,"drip, espresso",medium,beans,100% Arabica,Indonezja,250,28
403,8.4,250 g,,"drip, espresso",medium,beans,100% Arabica,Meksyk,250,33.6
404,10.2,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,40.8
405,11.4,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,45.6
406,11.8,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,47.2
407,12.8,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,250,51.2
408,13.2,250 g,,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,52.8
409,13,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,52
410,16.6,250 g,Washed,"drip, espresso",light,beans,100% Arabica,Burundi,250,66.4
411,15.4,250 g,Washed,"drip, espresso",light,beans,100% Arabica,Kolumbia,250,61.6
412,21.8,150 g,Natural,"drip, espresso",light,beans,100% Arabica,Brazylia,150,145.33
413,13.6,200 g,Semi-Washed Kombucha Experiment,"drip, espresso",medium,beans,100% Arabica,Salwador,200,68
414,9.4,250 g,Pulped natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,37.6
415,12.6,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kenia,250,50.4
416,12.8,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,250,51.2
417,20.86,200 g,Anaerobic,"drip, espresso",medium,beans,100% Arabica,Kolumbia,200,104.3
418,14.98,500 g,,"drip, espresso",dark,beans,100% Arabica,,500,29.96
419,14.8,500 g,,"drip, espresso",medium,beans,100% Arabica,,500,29.6
420,17.8,1 kg,,"drip, espresso",medium,beans,100% Arabica,,1000,17.8
421,11.8,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,250,47.2
422,5.76,200 g,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,200,28.8
423,12,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,48
424,11.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,45.6
425,14.8,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Kostaryka,250,59.2
426,14.8,250 g,Yellow Honey,"drip, espresso",medium,beans,100% Arabica,Kostaryka,250,59.2
427,25.8,400 g,Natural,"drip, espresso",light,beans,100% Arabica,Etiopia,400,64.5
428,8.8,250 g,,"drip, espresso",medium,beans,100% Arabica,"Etiopia, Gwatemala",250,35.2
429,10.8,250 g,Black Honey,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,43.2
430,6.4,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,25.6
431,5.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,21.6
432,4.8,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,19.2
433,12,250 g,Washed,"drip, espresso",light,beans,100% Arabica,Kenia,250,48
434,10.4,250 g,Anaerobic natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,41.6
435,12.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,49.6
436,11.6,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,250,46.4
437,10.53,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Nikaragua,250,42.12
438,13.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Burundi,250,53.6
439,9.8,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,39.2
440,12.4,250 g,Honey,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,49.6
441,14.6,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Gwatemala,250,58.4
442,14,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Kenia,250,56
443,12.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Rwanda,250,49.6
444,11.4,250 g,Honey,"drip, espresso",medium,beans,100% Arabica,Indonezja,250,45.6
445,16.4,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,65.6
446,19.6,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,78.4
447,29.8,200 g,Anaerobic,"drip, espresso",medium,beans,100% Arabica,Kolumbia,200,149
448,12.8,200 g,Hybrid Natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,200,64
449,11.6,250 g,Black Honey,"drip, espresso",medium,beans,100% Arabica,Salwador,250,46.4
450,11.8,200 g,Natural,"drip, espresso",medium,beans,100% Arabica,Salwador,200,59
451,9.2,250 g,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,250,36.8
452,8.7,250 g,Black Honey,"drip, espresso",medium,beans,100% Arabica,Salwador,250,34.8
453,10,250 g,Fermentacja kontrolowana,"drip, espresso",medium,beans,100% Arabica,Brazylia,250,40
454,8.4,250 g,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,250,33.6
455,27.8,1 kg,Natural,espresso,medium,beans,100% Arabica,Uganda,1000,27.8
456,8.6,250 g,Natural,espresso,medium,beans,100% Arabica,Uganda,250,34.4
457,15.8,500 g,,espresso,medium,beans,100% Arabica,,500,31.6
458,19.8,1 kg,,espresso,medium,beans,85/15,Italy,1000,19.8
459,6.4,250 g,,espresso,medium,beans,85/15,Italy,250,25.6
460,13,500 g,,espresso,medium,beans,100% Arabica,,500,26
461,15.8,1 kg,,espresso,medium,beans,50/50,,1000,15.8
462,19.8,1 kg,,espresso,medium,beans,75/25,Italy,1000,19.8
463,6.38,250 g,,espresso,medium,beans,75/25,Italy,250,25.52
464,25,1 kg,,espresso,medium,beans,100% Arabica,,1000,25
465,7.2,250 g,,espresso,medium,beans,100% Arabica,,250,28.8
466,15,500 g,,espresso,medium,beans,100% Arabica,Peru,500,30
467,7,250 g,,espresso,medium,ground,100% Arabica,,250,28
468,21.8,1 kg,,espresso,medium,beans,100% Arabica,,1000,21.8
469,5.8,250 g,,espresso,medium,beans,100% Arabica,Italy,250,23.2
470,12,500 g,Natural,espresso,medium,beans,100% Arabica,Brazylia,500,24
471,24,1 kg,Washed,espresso,medium,beans,100% Arabica,,1000,24
472,12.4,500 g,Washed,espresso,medium,beans,100% Arabica,,500,24.8
473,31.6,1 kg,Washed,espresso,medium,beans,100% Arabica,Peru,1000,31.6
474,10,250 g,Washed,espresso,medium,beans,100% Arabica,Peru,250,40
475,5.2,250 g,Natural,espresso,medium,beans,100% Arabica,Brazylia,250,20.8
476,9.2,500 g,,espresso,dark,beans,100% Arabica,,500,18.4
477,24.6,5 x 250g,,espresso,medium,beans,,,1250,19.68
478,5.78,250 g,,espresso,dark,beans,100% Arabica,,250,23.12
479,5.98,250 g,,espresso,dark,beans,100% Arabica,,250,23.92
480,17.8,1 kg,,espresso,dark,beans,100% Arabica,,1000,17.8
481,13.8,500 g,,espresso,medium,beans,60/40,,500,27.6
482,16,500 g,,espresso,medium,beans,100% Arabica,"Brazylia, Burundi, Peru",500,32
483,12.98,1 kg,,espresso,dark,beans,80/20,,1000,12.98
484,15.98,1 kg,,espresso,dark,beans,100% Arabica,,1000,15.98
485,21.8,1 kg,Natural,espresso,medium,beans,100% Arabica,Brazylia,1000,21.8
486,5.6,250 g,Natural,espresso,medium,beans,100% Arabica,Brazylia,250,22.4
487,25.8,1 kg,Natural,espresso,medium,beans,100% Arabica,Brazylia,1000,25.8
488,7,250 g,Natural,espresso,medium,beans,100% Arabica,Brazylia,250,28
489,7.4,250 g,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",250,29.6
490,19.98,1 kg,,espresso,dark,beans,100% Arabica,Italy,1000,19.98
491,17.98,1 kg,,espresso,dark,beans,100% Arabica,,1000,17.98
492,9.4,250 g,Washed,espresso,medium,beans,100% Arabica,"Salwador, Nikaragua",250,37.6
493,18.4,1 kg,,espresso,dark,beans,60/40,,1000,18.4
494,6.4,250 g,Natural,espresso,medium,beans,100% Arabica,Brazylia,250,25.6
495,26,1 kg,Washed,espresso,medium,beans,100% Arabica,Gwatemala,1000,26
496,7,250 g,Washed,espresso,medium,beans,100% Arabica,Gwatemala,250,28
497,5.2,250 g,Washed,espresso,medium,beans,100% Arabica,Gwatemala,250,20.8
498,7.98,500 g,,espresso,,ground,100% Arabica,Brazylia,500,15.96
499,7,250 g,,espresso,dark,ground,80/20,,250,28
500,23.8,1 kg,,espresso,dark,beans,100% Arabica,,1000,23.8
501,13.8,1 kg,,espresso,dark,beans,75/25,,1000,13.8
502,11.8,1 kg,,espresso,dark,beans,75/25,,1000,11.8
503,7,500 g,,espresso,dark,beans,75/25,,500,14
504,22,1 kg,,espresso,dark,beans,90/10,,1000,22
505,3.8,250 g,,espresso,dark,ground,100% Arabica,,250,15.2
506,5,200 g,,espresso,dark,beans,100% Arabica,,200,25
507,22.8,1 kg,,espresso,dark,beans,100% Arabica,,1000,22.8
508,11.8,500 g,,espresso,dark,beans,100% Arabica,,500,23.6
